UDI,Asset ID,Asset Name,Make / Model,Equipment Class,Criticality Tier,Location,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
21,PC-01,Primary Jaw Crusher,Metso Nordberg C160,Fixed plant - crushing,H,Primary Crushing Circuit,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0
22,PMP-01,Pit Dewatering Pump,Grundfos S-series,Fixed - water mgmt,L,Open Pit - Stage 3,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0
23,EX-03,Hydraulic Excavator,Liebherr R 9200,Mobile - loading,M,Open Pit - Stage 2,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0
24,PMP-03,Tailings Transfer Pump,Warman AH-series,Fixed - water mgmt,L,Tailings Storage Facility,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0
25,LD-01,Wheel Loader,Caterpillar 992K,Mobile - loading,M,ROM Pad,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0
26,PMP-02,Pit Dewatering Pump,Grundfos S-series,Fixed - water mgmt,L,Open Pit - Stage 2,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0
27,CMP-03,Plant Air Compressor,Atlas Copco GA160,Fixed - support,L,Grinding / CIL Circuit,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0
28,TH-01,CIL Thickener Drive,Outotec high-rate,Fixed plant - processing,H,Grinding / CIL Circuit,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0
29,GEN-02,Standby Generator,Cummins C1100 D5,Fixed - power,L,Grinding / CIL Circuit,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0
30,WC-02,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0
31,HT-02,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0
32,PMP-02,Pit Dewatering Pump,Grundfos S-series,Fixed - water mgmt,L,Open Pit - Stage 2,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0
33,LV-05,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Haul Road Network,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0
34,FD-02,Belt Feeder,Metso belt feeder,Fixed plant - feed,L,ROM Pad,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0
35,HT-02,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0
36,EX-03,Hydraulic Excavator,Liebherr R 9200,Mobile - loading,M,Open Pit - Stage 2,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0
37,HT-02,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0
38,LV-04,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,Maintenance Workshop,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0
39,ML-01,Ball Mill,Outotec 7.3m,Fixed plant - grinding,H,Grinding / CIL Circuit,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0
40,PMP-01,Pit Dewatering Pump,Grundfos S-series,Fixed - water mgmt,L,Open Pit - Stage 3,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0
41,FD-02,Belt Feeder,Metso belt feeder,Fixed plant - feed,L,ROM Pad,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0
42,CMP-01,Workshop Air Compressor,Atlas Copco GA75,Fixed - support,L,Maintenance Workshop,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0
43,DR-02,Rotary Blasthole Drill,Sandvik DR410i,Mobile - drilling,M,Open Pit - Stage 2,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0
44,TH-01,CIL Thickener Drive,Outotec high-rate,Fixed plant - processing,H,Grinding / CIL Circuit,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0
45,HT-05,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,Open Pit - Stage 2,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0
46,GR-01,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0
47,HT-06,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,ROM Pad,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0
48,LV-03,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,ROM Pad,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0
49,CV-01,Overland Conveyor (1.4 km),Continental steel-cord,Fixed plant - conveying,H,Conveyor Corridor,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0
50,EX-02,Hydraulic Excavator,Hitachi EX1900-6,Mobile - loading,M,Open Pit - Stage 3,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0
51,PMP-02,Pit Dewatering Pump,Grundfos S-series,Fixed - water mgmt,L,Open Pit - Stage 2,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0
52,FD-01,Apron Feeder,Metso apron feeder,Fixed plant - feed,L,Primary Crushing Circuit,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0
53,SC-01,Secondary Cone Crusher,Sandvik CH870i,Fixed plant - crushing,H,Primary Crushing Circuit,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0
54,DZ-01,Track Dozer,Caterpillar D10T2,Mobile - earthmoving,L,Open Pit - Stage 3,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0
55,PMP-04,Process Water Pump,Warman AH-series,Fixed - water mgmt,L,Grinding / CIL Circuit,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0
56,PMP-04,Process Water Pump,Warman AH-series,Fixed - water mgmt,L,Grinding / CIL Circuit,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0
57,GEN-02,Standby Generator,Cummins C1100 D5,Fixed - power,L,Grinding / CIL Circuit,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0
58,PMP-03,Tailings Transfer Pump,Warman AH-series,Fixed - water mgmt,L,Tailings Storage Facility,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0
59,DR-01,Rotary Blasthole Drill,Epiroc Pit Viper 271,Mobile - drilling,M,Open Pit - Stage 3,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0
60,DZ-01,Track Dozer,Caterpillar D10T2,Mobile - earthmoving,L,Open Pit - Stage 3,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0
61,GEN-04,Standby Generator,Cummins C700 D5,Fixed - power,L,Tailings Storage Facility,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0
62,DR-03,Down-the-Hole Drill,Epiroc SmartROC D65,Mobile - drilling,M,Open Pit - Stage 2,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0
63,CMP-03,Plant Air Compressor,Atlas Copco GA160,Fixed - support,L,Grinding / CIL Circuit,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0
64,DR-02,Rotary Blasthole Drill,Sandvik DR410i,Mobile - drilling,M,Open Pit - Stage 2,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0
65,LV-05,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Haul Road Network,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0
66,LV-03,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,ROM Pad,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0
67,EX-01,Hydraulic Excavator,Komatsu PC2000-11,Mobile - loading,M,Open Pit - Stage 3,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0
68,ML-01,Ball Mill,Outotec 7.3m,Fixed plant - grinding,H,Grinding / CIL Circuit,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0
69,GEN-04,Standby Generator,Cummins C700 D5,Fixed - power,L,Tailings Storage Facility,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0
70,LV-02,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,Open Pit - Stage 2,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0
71,HT-03,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0
72,WC-01,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0
73,WC-03,Water Cart,Caterpillar 773 (55 kL),Mobile - dust supp.,L,Open Pit - Stage 3,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0
74,LV-04,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,Maintenance Workshop,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0
75,LV-05,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Haul Road Network,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0
76,SV-02,Service / Lube Truck,Isuzu FVZ service body,Mobile - field maint.,L,Maintenance Workshop,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0
77,GEN-03,Standby Generator,Cummins C700 D5,Fixed - power,L,Maintenance Workshop,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0
78,GEN-03,Standby Generator,Cummins C700 D5,Fixed - power,L,Maintenance Workshop,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0
79,CMP-01,Workshop Air Compressor,Atlas Copco GA75,Fixed - support,L,Maintenance Workshop,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0
80,LV-06,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Tailings Storage Facility,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0
81,CV-01,Overland Conveyor (1.4 km),Continental steel-cord,Fixed plant - conveying,H,Conveyor Corridor,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0
82,PMP-02,Pit Dewatering Pump,Grundfos S-series,Fixed - water mgmt,L,Open Pit - Stage 2,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0
83,FD-01,Apron Feeder,Metso apron feeder,Fixed plant - feed,L,Primary Crushing Circuit,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0
84,CMP-03,Plant Air Compressor,Atlas Copco GA160,Fixed - support,L,Grinding / CIL Circuit,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0
85,WC-04,Water Cart,Caterpillar 773 (55 kL),Mobile - dust supp.,L,Open Pit - Stage 2,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0
86,DR-02,Rotary Blasthole Drill,Sandvik DR410i,Mobile - drilling,M,Open Pit - Stage 2,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0
87,PC-01,Primary Jaw Crusher,Metso Nordberg C160,Fixed plant - crushing,H,Primary Crushing Circuit,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0
88,WC-02,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0
89,HT-06,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,ROM Pad,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0
90,EX-01,Hydraulic Excavator,Komatsu PC2000-11,Mobile - loading,M,Open Pit - Stage 3,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0
91,WC-03,Water Cart,Caterpillar 773 (55 kL),Mobile - dust supp.,L,Open Pit - Stage 3,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0
92,CMP-01,Workshop Air Compressor,Atlas Copco GA75,Fixed - support,L,Maintenance Workshop,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0
93,DR-03,Down-the-Hole Drill,Epiroc SmartROC D65,Mobile - drilling,M,Open Pit - Stage 2,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0
94,GEN-03,Standby Generator,Cummins C700 D5,Fixed - power,L,Maintenance Workshop,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0
95,WC-02,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0
96,HT-02,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0
97,HT-01,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0
98,LD-02,Wheel Loader,Komatsu WA600-8,Mobile - loading,M,ROM Pad,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0
99,WC-03,Water Cart,Caterpillar 773 (55 kL),Mobile - dust supp.,L,Open Pit - Stage 3,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0
100,GR-01,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0
101,DZ-02,Wheel Dozer,Komatsu WD600-6,Mobile - earthmoving,L,ROM Pad,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0
102,LV-06,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Tailings Storage Facility,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0
103,WC-04,Water Cart,Caterpillar 773 (55 kL),Mobile - dust supp.,L,Open Pit - Stage 2,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0
104,HT-02,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0
105,GEN-01,Standby Generator,Cummins C1100 D5,Fixed - power,L,Primary Crushing Circuit,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0
106,WC-01,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0
107,LV-04,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,Maintenance Workshop,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0
108,DR-03,Down-the-Hole Drill,Epiroc SmartROC D65,Mobile - drilling,M,Open Pit - Stage 2,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0
109,SC-01,Secondary Cone Crusher,Sandvik CH870i,Fixed plant - crushing,H,Primary Crushing Circuit,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0
110,SV-02,Service / Lube Truck,Isuzu FVZ service body,Mobile - field maint.,L,Maintenance Workshop,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0
111,WC-03,Water Cart,Caterpillar 773 (55 kL),Mobile - dust supp.,L,Open Pit - Stage 3,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0
112,SC-01,Secondary Cone Crusher,Sandvik CH870i,Fixed plant - crushing,H,Primary Crushing Circuit,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0
113,LD-02,Wheel Loader,Komatsu WA600-8,Mobile - loading,M,ROM Pad,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0
114,DR-03,Down-the-Hole Drill,Epiroc SmartROC D65,Mobile - drilling,M,Open Pit - Stage 2,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0
115,DZ-02,Wheel Dozer,Komatsu WD600-6,Mobile - earthmoving,L,ROM Pad,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0
116,PMP-04,Process Water Pump,Warman AH-series,Fixed - water mgmt,L,Grinding / CIL Circuit,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0
117,WC-01,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0
118,LV-04,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,Maintenance Workshop,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0
119,HT-05,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,Open Pit - Stage 2,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0
120,CMP-02,Workshop Air Compressor,Atlas Copco GA75,Fixed - support,L,Maintenance Workshop,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0
121,SV-02,Service / Lube Truck,Isuzu FVZ service body,Mobile - field maint.,L,Maintenance Workshop,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0
122,GEN-03,Standby Generator,Cummins C700 D5,Fixed - power,L,Maintenance Workshop,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0
123,LV-06,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Tailings Storage Facility,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0
124,CMP-02,Workshop Air Compressor,Atlas Copco GA75,Fixed - support,L,Maintenance Workshop,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0
125,CMP-02,Workshop Air Compressor,Atlas Copco GA75,Fixed - support,L,Maintenance Workshop,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0
126,SV-02,Service / Lube Truck,Isuzu FVZ service body,Mobile - field maint.,L,Maintenance Workshop,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0
127,GR-01,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0
128,WC-01,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0
129,SV-02,Service / Lube Truck,Isuzu FVZ service body,Mobile - field maint.,L,Maintenance Workshop,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0
130,DZ-02,Wheel Dozer,Komatsu WD600-6,Mobile - earthmoving,L,ROM Pad,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0
131,WC-01,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0
132,GR-02,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0
133,HT-01,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0
134,HT-04,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 2,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0
135,PMP-01,Pit Dewatering Pump,Grundfos S-series,Fixed - water mgmt,L,Open Pit - Stage 3,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0
136,EX-01,Hydraulic Excavator,Komatsu PC2000-11,Mobile - loading,M,Open Pit - Stage 3,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0
137,SC-01,Secondary Cone Crusher,Sandvik CH870i,Fixed plant - crushing,H,Primary Crushing Circuit,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0
138,PMP-01,Pit Dewatering Pump,Grundfos S-series,Fixed - water mgmt,L,Open Pit - Stage 3,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0
139,TH-01,CIL Thickener Drive,Outotec high-rate,Fixed plant - processing,H,Grinding / CIL Circuit,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0
140,CMP-03,Plant Air Compressor,Atlas Copco GA160,Fixed - support,L,Grinding / CIL Circuit,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0
141,GEN-03,Standby Generator,Cummins C700 D5,Fixed - power,L,Maintenance Workshop,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0
142,CMP-02,Workshop Air Compressor,Atlas Copco GA75,Fixed - support,L,Maintenance Workshop,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0
143,EX-02,Hydraulic Excavator,Hitachi EX1900-6,Mobile - loading,M,Open Pit - Stage 3,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0
144,SC-01,Secondary Cone Crusher,Sandvik CH870i,Fixed plant - crushing,H,Primary Crushing Circuit,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0
145,HT-02,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0
146,GEN-04,Standby Generator,Cummins C700 D5,Fixed - power,L,Tailings Storage Facility,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0
147,SC-01,Secondary Cone Crusher,Sandvik CH870i,Fixed plant - crushing,H,Primary Crushing Circuit,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0
148,WC-01,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0
149,LD-01,Wheel Loader,Caterpillar 992K,Mobile - loading,M,ROM Pad,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0
150,LV-02,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,Open Pit - Stage 2,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0
151,GR-02,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0
152,HT-05,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,Open Pit - Stage 2,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0
153,HT-03,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0
154,FD-02,Belt Feeder,Metso belt feeder,Fixed plant - feed,L,ROM Pad,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0
155,LV-03,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,ROM Pad,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0
156,SC-01,Secondary Cone Crusher,Sandvik CH870i,Fixed plant - crushing,H,Primary Crushing Circuit,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0
157,LD-02,Wheel Loader,Komatsu WA600-8,Mobile - loading,M,ROM Pad,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0
158,ML-01,Ball Mill,Outotec 7.3m,Fixed plant - grinding,H,Grinding / CIL Circuit,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0
159,DR-03,Down-the-Hole Drill,Epiroc SmartROC D65,Mobile - drilling,M,Open Pit - Stage 2,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0
160,WC-03,Water Cart,Caterpillar 773 (55 kL),Mobile - dust supp.,L,Open Pit - Stage 3,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0
161,GEN-03,Standby Generator,Cummins C700 D5,Fixed - power,L,Maintenance Workshop,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0
